folder,ra_deg,dec_deg,gmag
TRES-1,285.6231564829624,36.284207854951276,11.34494686126709
TRES-1,285.52886784858407,36.79924452008826,11.346699714660645
TRES-1,286.13887023038393,36.20319822621266,11.35678768157959
TRES-1,285.73800076651355,36.98462639908137,11.37298583984375
TRES-1,286.1250365401246,36.97734040966411,11.396084785461426
TRES-1,286.47824217131387,36.949469405302246,11.397960662841797
TRES-1,286.03303694078613,36.66986358325714,11.410948753356934
TRES-1,286.34605378887994,36.280893435855546,11.439879417419434
TRES-1,285.8786424619953,36.520552198358914,11.475034713745117
TRES-1,286.42249522038463,36.81711802887436,11.475308418273926
TRES-1,286.18314049558677,36.43681476697664,11.478673934936523
TRES-1,286.330165715122,37.00270586753967,11.517335891723633
TRES-3,267.7295411340321,37.70432686633132,7.987328052520752
TRES-3,267.5166323595919,37.29336736041459,8.276556015014648
TRES-3,268.23866874220295,37.58381345757196,8.597716331481934
TRES-3,268.2186328863513,37.69695931555013,8.69510269165039
TRES-3,268.1834516313715,37.28624545148572,8.979111671447754
TRES-3,268.18883894945833,37.21341715690294,9.37371826171875
TRES-3,268.3191376845887,37.28487121410332,9.42231273651123
TRES-3,267.53059504100736,37.494711919877936,9.439804077148438
TRES-3,268.5470996403414,37.5014825491105,9.473674774169922
TRES-3,268.2555963644969,37.05417146415828,9.58495044708252
TRES-3,268.4386246104676,37.91621764912021,9.593413352966309
TRES-3,267.76825448242363,37.157021064528394,9.671588897705078
TRES-3,267.83638791000095,37.525022754753664,9.747987747192383
TRES-3,267.7641854010998,37.26967379231553,9.918858528137207
TRES-3,267.51205854564967,37.75473756842681,9.922679901123047
TRES-3,268.1859033165131,37.39276594362703,10.11085033416748
TRES-3,267.49307963966,37.52111392460149,10.11184024810791
TRES-3,267.9427602149485,37.239723332870504,10.169429779052734
TRES-3,268.41213379050026,37.935996222382535,10.196728706359863
TRES-3,268.39155365982367,37.41173410167273,10.219402313232422
TRES-3,268.6444838656776,37.47965898847034,10.450342178344727
TRES-3,267.5891829324133,37.23819951660677,10.608314514160156
TRES-3,267.7528936236212,37.08090695379158,10.61723518371582
TRES-3,267.6516618272372,37.70345161616307,10.737953186035156
TRES-3,268.1592992465973,37.775410691635024,10.86070728302002
TRES-3,268.34241991823484,37.05665980487197,10.89897346496582
TRES-3,268.1560295695739,37.42411113406724,10.930268287658691
TRES-3,267.44525530084866,37.421782985663036,10.940673828125
TRES-3,267.48539735804536,37.499919976919195,10.941468238830566
TRES-3,268.08698137868,37.85576973656321,10.998964309692383
TRES-3,268.2630499913655,37.93446140178275,11.045199394226074
TRES-3,268.5742496458109,37.721307133570406,11.05916976928711
TRES-3,267.49098725322864,37.620538666283394,11.179512977600098
TRES-3,267.5550316674207,37.40746595177232,11.200200080871582
TRES-3,267.65084013564945,37.70362777449487,11.229820251464844
TRES-3,267.659767259787,37.420465237639704,11.279816627502441
TRES-3,268.5741469180207,37.64046582006403,11.288556098937988
TRES-3,267.8151726492616,37.598285830004244,11.304891586303711
TRES-3,267.87135605688655,37.418722371861286,11.320452690124512
TRES-3,268.2336151020462,37.611294569380036,11.324188232421875
TRES-3,267.88939514856264,37.974483400224905,11.336382865905762
TRES-3,267.8349084546261,37.317590058530634,11.372596740722656
TRES-3,267.83608935346587,37.32275377588679,11.393917083740234
TRES-3,267.7591819451481,38.04906956095812,11.436301231384277
