target,night,file,mjd_obs,ut_time,rel_flux_global,noisy_night
TRES-5,2026-08-17,TRES-5260817113915.fits,61269.486,11:39:50,1.0128,no
TRES-5,2026-08-20,TRES-5260820113615.fits,61272.484,11:36:57,0.352,no
TRES-5,2026-08-20,TRES-5260820113915.fits,61272.486,11:39:50,0.349,no
TRES-5,2026-08-20,TRES-5260820114216.fits,61272.488,11:42:43,0.2841,no
TRES-5,2026-08-20,TRES-5260820114817.fits,61272.492,11:48:28,0.301,no
TRES-5,2026-08-26,TRES-5260826093916.fits,61278.402,09:38:52,0.8845,no
TRES-5,2026-08-26,TRES-5260826094515.fits,61278.406,09:44:38,0.9783,no
TRES-5,2026-08-26,TRES-5260826094816.fits,61278.409,09:48:57,0.997,no
TRES-5,2026-08-26,TRES-5260826095115.fits,61278.411,09:51:50,0.927,no
TRES-5,2026-08-26,TRES-5260826095415.fits,61278.413,09:54:43,0.9206,no
TRES-5,2026-08-26,TRES-5260826100015.fits,61278.417,10:00:28,0.9325,no
TRES-5,2026-08-29,TRES-5260829055721.fits,61281.248,05:57:07,0.9765,no
TRES-5,2026-08-29,TRES-5260829061035.fits,61281.257,06:10:04,0.9391,no
TRES-5,2026-08-29,TRES-5260829061402.fits,61281.26,06:14:24,0.947,no
TRES-5,2026-08-29,TRES-5260829061546.fits,61281.261,06:15:50,0.9947,no
TRES-5,2026-08-29,TRES-5260829061815.fits,61281.263,06:18:43,1.0566,no
TRES-5,2026-08-29,TRES-5260829062115.fits,61281.265,06:21:36,1.0304,no
TRES-5,2026-08-29,TRES-5260829062415.fits,61281.267,06:24:28,1.0557,no
TRES-5,2026-08-29,TRES-5260829062715.fits,61281.269,06:27:21,0.9716,no
TRES-5,2026-08-29,TRES-5260829063015.fits,61281.271,06:30:14,1.036,no
TRES-5,2026-08-29,TRES-5260829063315.fits,61281.273,06:33:07,0.9608,no
TRES-5,2026-08-29,TRES-5260829063616.fits,61281.275,06:36:00,0.973,no
TRES-5,2026-08-29,TRES-5260829063915.fits,61281.277,06:38:52,0.9173,no
TRES-5,2026-08-29,TRES-5260829064515.fits,61281.281,06:44:38,1.002,no
TRES-5,2026-08-29,TRES-5260829064815.fits,61281.284,06:48:57,0.9428,no
TRES-5,2026-08-29,TRES-5260829065115.fits,61281.286,06:51:50,0.9719,no
TRES-5,2026-08-29,TRES-5260829065415.fits,61281.288,06:54:43,0.9699,no
TRES-5,2026-08-29,TRES-5260829070015.fits,61281.292,07:00:28,0.9591,no
TRES-5,2026-08-29,TRES-5260829070315.fits,61281.294,07:03:21,0.8692,no
TRES-5,2026-08-29,TRES-5260829070615.fits,61281.296,07:06:14,1.0331,no
TRES-5,2026-08-29,TRES-5260829070915.fits,61281.298,07:09:07,0.8758,no
TRES-5,2026-08-29,TRES-5260829071215.fits,61281.3,07:12:00,0.9837,no
TRES-5,2026-08-29,TRES-5260829071516.fits,61281.302,07:14:52,0.9826,no
TRES-5,2026-08-29,TRES-5260829071815.fits,61281.304,07:17:45,1.0006,no
TRES-5,2026-08-29,TRES-5260829072115.fits,61281.306,07:20:38,0.9499,no
TRES-5,2026-08-29,TRES-5260829072415.fits,61281.309,07:24:57,0.9843,no
TRES-5,2026-08-29,TRES-5260829072716.fits,61281.311,07:27:50,0.8408,no
TRES-5,2026-08-29,TRES-5260829073016.fits,61281.313,07:30:43,0.9552,no
TRES-5,2026-08-29,TRES-5260829073315.fits,61281.315,07:33:36,0.8478,no
TRES-5,2026-08-29,TRES-5260829073615.fits,61281.317,07:36:28,0.8954,no
TRES-5,2026-08-29,TRES-5260829073915.fits,61281.319,07:39:21,0.9674,no
TRES-5,2026-08-29,TRES-5260829074217.fits,61281.321,07:42:14,0.8652,no
TRES-5,2026-08-29,TRES-5260829074515.fits,61281.323,07:45:07,0.9258,no
TRES-5,2026-08-29,TRES-5260829074815.fits,61281.325,07:48:00,0.9649,no
TRES-5,2026-08-29,TRES-5260829075115.fits,61281.327,07:50:52,0.8474,no
TRES-5,2026-08-29,TRES-5260829075415.fits,61281.329,07:53:45,0.8702,no
TRES-5,2026-08-29,TRES-5260829080015.fits,61281.334,08:00:57,0.9043,no
TRES-5,2026-08-29,TRES-5260829080315.fits,61281.336,08:03:50,0.8588,no
TRES-5,2026-08-29,TRES-5260829080615.fits,61281.338,08:06:43,0.9163,no
TRES-5,2026-08-29,TRES-5260829080915.fits,61281.34,08:09:36,0.9471,no
TRES-5,2026-08-29,TRES-5260829081216.fits,61281.342,08:12:28,0.894,no
TRES-5,2026-08-29,TRES-5260829081515.fits,61281.344,08:15:21,0.9649,no
TRES-5,2026-08-29,TRES-5260829081815.fits,61281.346,08:18:14,1.0049,no
TRES-5,2026-08-29,TRES-5260829082115.fits,61281.348,08:21:07,0.8936,no
TRES-5,2026-08-29,TRES-5260829082415.fits,61281.35,08:24:00,0.8623,no
TRES-5,2026-08-29,TRES-5260829082715.fits,61281.352,08:26:52,1.0442,no
TRES-5,2026-08-29,TRES-5260829083016.fits,61281.354,08:29:45,0.9292,no
TRES-5,2026-08-29,TRES-5260829083315.fits,61281.356,08:32:38,1.0317,no
TRES-5,2026-08-29,TRES-5260829083615.fits,61281.359,08:36:57,0.8546,no
TRES-5,2026-08-29,TRES-5260829083915.fits,61281.361,08:39:50,0.7892,no
TRES-5,2026-08-29,TRES-5260829084215.fits,61281.363,08:42:43,0.8353,no
TRES-5,2026-08-29,TRES-5260829084516.fits,61281.365,08:45:36,1.0215,no
TRES-5,2026-08-29,TRES-5260829084815.fits,61281.367,08:48:28,0.6755,no
TRES-5,2026-08-29,TRES-5260829085415.fits,61281.371,08:54:14,0.9805,no
TRES-5,2026-08-29,TRES-5260829085715.fits,61281.373,08:57:07,0.9604,no
TRES-5,2026-08-29,TRES-5260829090315.fits,61281.377,09:02:52,0.9743,no
TRES-5,2026-08-29,TRES-5260829090915.fits,61281.381,09:08:38,0.9445,no
TRES-5,2026-08-29,TRES-5260829091516.fits,61281.386,09:15:50,0.9951,no
TRES-5,2026-08-29,TRES-5260829091817.fits,61281.388,09:18:43,0.9612,no
TRES-5,2026-08-29,TRES-5260829092415.fits,61281.392,09:24:28,0.9992,no
TRES-5,2026-08-29,TRES-5260829092716.fits,61281.394,09:27:21,0.9556,no
TRES-5,2026-08-29,TRES-5260829093015.fits,61281.396,09:30:14,0.9717,no
TRES-5,2026-09-01,TRES-5260901060615.fits,61284.254,06:05:45,0.982,no
TRES-5,2026-09-01,TRES-5260901061515.fits,61284.261,06:15:50,1.0261,no
TRES-5,2026-09-01,TRES-5260901061815.fits,61284.263,06:18:43,0.9763,no
TRES-5,2026-09-01,TRES-5260901062115.fits,61284.265,06:21:36,1.0041,no
TRES-5,2026-09-01,TRES-5260901062416.fits,61284.267,06:24:28,0.9401,no
TRES-5,2026-09-01,TRES-5260901062715.fits,61284.269,06:27:21,1.0729,no
TRES-5,2026-09-01,TRES-5260901063015.fits,61284.271,06:30:14,1.0061,no
TRES-5,2026-09-01,TRES-5260901063315.fits,61284.273,06:33:07,1.0875,no
TRES-5,2026-09-01,TRES-5260901063615.fits,61284.275,06:36:00,0.9744,no
TRES-5,2026-09-01,TRES-5260901063916.fits,61284.277,06:38:52,0.9967,no
TRES-5,2026-09-01,TRES-5260901064215.fits,61284.279,06:41:45,0.9451,no
TRES-5,2026-09-01,TRES-5260901064516.fits,61284.281,06:44:38,0.9066,no
TRES-5,2026-09-01,TRES-5260901064815.fits,61284.284,06:48:57,1.094,no
TRES-5,2026-09-01,TRES-5260901065116.fits,61284.286,06:51:50,1.1084,no
TRES-5,2026-09-01,TRES-5260901065416.fits,61284.288,06:54:43,0.9921,no
TRES-5,2026-09-01,TRES-5260901065716.fits,61284.29,06:57:36,1.0009,no
TRES-5,2026-09-01,TRES-5260901070016.fits,61284.292,07:00:28,0.9862,no
TRES-5,2026-09-01,TRES-5260901070315.fits,61284.294,07:03:21,0.9706,no
TRES-5,2026-09-01,TRES-5260901070615.fits,61284.296,07:06:14,0.9676,no
TRES-5,2026-09-01,TRES-5260901070915.fits,61284.298,07:09:07,0.9776,no
TRES-5,2026-09-01,TRES-5260901071215.fits,61284.3,07:12:00,1.0125,no
TRES-5,2026-09-01,TRES-5260901071817.fits,61284.304,07:17:45,0.9767,no
TRES-5,2026-09-01,TRES-5260901072115.fits,61284.306,07:20:38,1.0633,no
TRES-5,2026-09-01,TRES-5260901072416.fits,61284.309,07:24:57,0.9918,no
TRES-5,2026-09-01,TRES-5260901072715.fits,61284.311,07:27:50,1.1645,no
TRES-5,2026-09-01,TRES-5260901073015.fits,61284.313,07:30:43,1.0464,no
TRES-5,2026-09-01,TRES-5260901073315.fits,61284.315,07:33:36,1.1302,no
TRES-5,2026-09-01,TRES-5260901073616.fits,61284.317,07:36:28,0.9951,no
TRES-5,2026-09-01,TRES-5260901074516.fits,61284.323,07:45:07,1.0128,no
TRES-5,2026-09-01,TRES-5260901074815.fits,61284.325,07:48:00,1.0321,no
TRES-5,2026-09-01,TRES-5260901075115.fits,61284.327,07:50:52,1.0338,no
TRES-5,2026-09-01,TRES-5260901080015.fits,61284.334,08:00:57,1.0909,no
TRES-5,2026-09-01,TRES-5260901080616.fits,61284.338,08:06:43,1.043,no
TRES-5,2026-09-01,TRES-5260901080916.fits,61284.34,08:09:36,0.9991,no
TRES-5,2026-09-01,TRES-5260901081215.fits,61284.342,08:12:28,1.0998,no
TRES-5,2026-09-01,TRES-5260901081515.fits,61284.344,08:15:21,1.1199,no
TRES-5,2026-09-01,TRES-5260901081815.fits,61284.346,08:18:14,1.0428,no
TRES-5,2026-09-01,TRES-5260901082415.fits,61284.35,08:24:00,1.0995,no
TRES-5,2026-09-01,TRES-5260901082715.fits,61284.352,08:26:52,1.023,no
TRES-5,2026-09-01,TRES-5260901083015.fits,61284.354,08:29:45,1.1478,no
TRES-5,2026-09-01,TRES-5260901083315.fits,61284.356,08:32:38,1.0792,no
TRES-5,2026-09-01,TRES-5260901083616.fits,61284.359,08:36:57,1.1537,no
TRES-5,2026-09-01,TRES-5260901083915.fits,61284.361,08:39:50,1.1773,no
TRES-5,2026-09-04,TRES-5260904041515.fits,61287.177,04:14:52,1.0104,no
TRES-5,2026-09-04,TRES-5260904042115.fits,61287.181,04:20:38,1.0391,no
TRES-5,2026-09-04,TRES-5260904042415.fits,61287.184,04:24:57,1.074,no
TRES-5,2026-09-04,TRES-5260904042715.fits,61287.186,04:27:50,1.0023,no
TRES-5,2026-09-04,TRES-5260904043015.fits,61287.188,04:30:43,1.0456,no
TRES-5,2026-09-04,TRES-5260904043316.fits,61287.19,04:33:36,1.1623,no
TRES-5,2026-09-04,TRES-5260904043615.fits,61287.192,04:36:28,1.0457,no
TRES-5,2026-09-04,TRES-5260904043915.fits,61287.194,04:39:21,1.1059,no
TRES-5,2026-09-04,TRES-5260904044215.fits,61287.196,04:42:14,1.1019,no
TRES-5,2026-09-04,TRES-5260904044516.fits,61287.198,04:45:07,1.0293,no
TRES-5,2026-09-04,TRES-5260904045115.fits,61287.202,04:50:52,0.9634,no
TRES-5,2026-09-04,TRES-5260904045415.fits,61287.204,04:53:45,0.994,no
TRES-5,2026-09-04,TRES-5260904045717.fits,61287.206,04:56:38,1.0082,no
TRES-5,2026-09-04,TRES-5260904050015.fits,61287.209,05:00:57,1.073,no
TRES-5,2026-09-04,TRES-5260904050315.fits,61287.211,05:03:50,1.0516,no
TRES-5,2026-09-04,TRES-5260904050616.fits,61287.213,05:06:43,1.0959,no
TRES-5,2026-09-04,TRES-5260904050915.fits,61287.215,05:09:36,1.097,no
TRES-5,2026-09-04,TRES-5260904051216.fits,61287.217,05:12:28,1.0,no
TRES-5,2026-09-04,TRES-5260904051516.fits,61287.219,05:15:21,1.0525,no
TRES-5,2026-09-04,TRES-5260904051816.fits,61287.221,05:18:14,1.0204,no
TRES-5,2026-09-04,TRES-5260904052115.fits,61287.223,05:21:07,1.0137,no
TRES-5,2026-09-04,TRES-5260904052715.fits,61287.227,05:26:52,1.003,no
TRES-5,2026-09-04,TRES-5260904053916.fits,61287.236,05:39:50,1.0617,no
TRES-5,2026-09-04,TRES-5260904054215.fits,61287.238,05:42:43,1.037,no
TRES-5,2026-09-04,TRES-5260904054515.fits,61287.24,05:45:36,0.9852,no
TRES-5,2026-09-04,TRES-5260904054815.fits,61287.242,05:48:28,1.024,no
TRES-5,2026-09-04,TRES-5260904055116.fits,61287.244,05:51:21,1.0591,no
TRES-5,2026-09-04,TRES-5260904055415.fits,61287.246,05:54:14,1.0921,no
TRES-5,2026-09-04,TRES-5260904055715.fits,61287.248,05:57:07,1.0723,no
TRES-5,2026-09-04,TRES-5260904060015.fits,61287.25,06:00:00,1.1015,no
TRES-5,2026-09-04,TRES-5260904060317.fits,61287.252,06:02:52,1.0924,no
TRES-5,2026-09-04,TRES-5260904060615.fits,61287.254,06:05:45,1.0471,no
TRES-5,2026-09-04,TRES-5260904060916.fits,61287.256,06:08:38,1.0914,no
TRES-5,2026-09-04,TRES-5260904061515.fits,61287.261,06:15:50,1.0767,no
TRES-5,2026-09-04,TRES-5260904061816.fits,61287.263,06:18:43,1.1143,no
TRES-5,2026-09-04,TRES-5260904062115.fits,61287.265,06:21:36,1.026,no
TRES-5,2026-09-04,TRES-5260904062415.fits,61287.267,06:24:28,1.1155,no
TRES-5,2026-09-04,TRES-5260904062715.fits,61287.269,06:27:21,0.8866,no
TRES-5,2026-09-04,TRES-5260904063015.fits,61287.271,06:30:14,0.981,no
TRES-5,2026-09-04,TRES-5260904063315.fits,61287.273,06:33:07,0.9796,no
TRES-5,2026-09-04,TRES-5260904063615.fits,61287.275,06:36:00,1.0798,no
TRES-5,2026-09-04,TRES-5260904063917.fits,61287.277,06:38:52,1.0416,no
TRES-5,2026-09-04,TRES-5260904064215.fits,61287.279,06:41:45,1.1011,no
TRES-5,2026-09-04,TRES-5260904064816.fits,61287.284,06:48:57,1.0346,no
TRES-5,2026-09-04,TRES-5260904065116.fits,61287.286,06:51:50,1.1059,no
TRES-5,2026-09-04,TRES-5260904065416.fits,61287.288,06:54:43,1.0974,no
